no,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,Average,status
0,female,,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,71,71,74,72,Average
1,female,group C,some college,standard,,married,sometimes,yes,0,,10-May,69,90,88,82.33333333,Good
2,female,group B,master's degree,standard,none,single,sometimes,yes,4,school_bus,< 5,87,93,91,90.33333333,Good
3,male,group A,associate's degree,free/reduced,none,married,never,no,1,,10-May,45,56,42,47.66666667,Poor
4,male,group C,some college,standard,none,married,sometimes,yes,0,school_bus,10-May,76,78,75,76.33333333,Good
5,female,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,10-May,73,84,79,78.66666667,Good
6,female,group B,some college,standard,completed,widowed,never,no,1,private,10-May,85,93,89,89,Good
7,male,group B,some college,free/reduced,none,married,sometimes,yes,1,private,> 10,41,43,39,41,Poor
8,male,group D,high school,free/reduced,completed,single,sometimes,no,3,private,> 10,65,64,68,65.66666667,Average
9,female,group B,high school,free/reduced,none,married,regularly,yes,,private,< 5,37,59,50,48.66666667,Poor
10,male,group C,associate's degree,standard,none,,sometimes,yes,1,private,10-May,58,54,52,54.66666667,Average
11,male,group D,associate's degree,standard,none,divorced,sometimes,yes,1,school_bus,10-May,40,52,43,45,Poor
12,female,group B,high school,standard,none,married,regularly,no,1,private,10-May,66,82,74,74,Average
13,male,group A,some college,standard,completed,single,sometimes,yes,1,private,> 10,80,73,71,74.66666667,Average
14,female,group A,master's degree,standard,none,divorced,sometimes,yes,2,private,< 5,48,53,58,53,Average
15,female,group C,some high school,standard,none,married,sometimes,yes,0,private,,69,75,78,74,Average
16,male,group C,high school,standard,,married,sometimes,yes,0,school_bus,10-May,88,89,86,87.66666667,Good
17,female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1,school_bus,10-May,18,32,28,26,Poor
18,male,group C,master's degree,free/reduced,completed,single,sometimes,no,1,private,10-May,46,42,47,45,Poor
19,female,group C,associate's degree,free/reduced,none,married,never,yes,3,private,< 5,50,56,58,54.66666667,Average
20,male,group D,high school,standard,none,married,sometimes,yes,5,school_bus,10-May,66,69,63,66,Average
21,female,group B,some college,free/reduced,completed,married,sometimes,no,2,school_bus,10-May,65,75,70,70,Average
22,male,group D,,standard,none,married,never,yes,5,,10-May,42,53,51,48.66666667,Poor
23,female,group C,some high school,standard,none,divorced,never,no,3,,10-May,66,71,71,69.33333333,Average
24,male,group D,,free/reduced,completed,married,sometimes,yes,2,school_bus,10-May,74,71,80,75,Good
25,male,group A,master's degree,free/reduced,none,married,regularly,yes,1,school_bus,10-May,75,76,76,75.66666667,Good
26,male,group B,some college,standard,none,married,sometimes,yes,5,school_bus,< 5,66,53,53,57.33333333,Average
27,female,group C,bachelor's degree,standard,none,married,sometimes,yes,4,school_bus,> 10,69,70,76,71.66666667,Average
28,male,group C,high school,standard,none,married,sometimes,no,1,private,10-May,70,70,65,68.33333333,Average
30,female,group D,some college,standard,none,single,sometimes,yes,0,private,< 5,66,72,72,70,Average
31,female,group B,some college,standard,none,single,sometimes,yes,5,,10-May,63,65,61,63,Average
32,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1,school_bus,10-May,56,73,66,65,Average
